$(OWNED)	(ЕСТЬ)
$Learn	ИЗУЧИТЬ
$LEAVE	УЙТИ
$LEAVE_RAID	ПОКИНУТЬ НАЛЕТ
$LeaveMinigame	Выйти из игры?
$Legendary4StarRequirementUnmet	Требуется легендарный модуль ¬¬¬.
$LegendaryCraftingTutorial01	Получайте легендарные блоки за события и ежедневные операции 
$LegendaryCraftingTutorial02	Используйте легендарные блоки для модификации оружия, обычной и силовой брони на верстаке
$LegendaryCraftingTutorial03	Модули можно менять сколько угодно раз на любом верстаке
$LegendaryCraftingTutorialHeader	ИЗГОТОВЛЕНИЕ ЛЕГЕНДАРНЫХ ПРЕДМЕТОВ
$LegendaryCraftingTutorialSubHeader	Присвойте легендарные характеристики оружию и броне и измените их 
$LegendaryPerks	ЛЕГЕНДАРНЫЕ СПОСОБНОСТИ
$LEGENDARYPERKSBUTTON	ЛЕГЕНД. СПОСОБНОСТИ
$LegendaryModGlyph	¬
$LegendaryPerkCollectionCardTip	{1}: уровень {2}
$LegendaryPerkConfirmChangesHeader	СОХРАНИТЬ ИЗМЕНЕНИЯ?
$LegendaryPerkConfirmChangesTooltip	(Вы сможете менять карты только после открытия новой ячейки)
$LegendaryPerkConfirmUpgradeCard	ПОДТВЕРДИТЬ ПОВЫШЕНИЕ УРОВНЯ
$LegendaryPerkUpgradeHeader	ПОВЫСИТЬ УРОВЕНЬ ЛЕГЕНДАРНОЙ СПОСОБНОСТИ
$LegendaryPerkUpgradeSubHeader	ПОТРАТИТЬ МОНЕТЫ СПОСОБНОСТЕЙ ({1}), ЧТОБЫ ПОВЫСИТЬ УРОВЕНЬ?
$LegendaryPerkEmptySlotTip	Пустая ячейка
$LegendaryPerkExitWithNoChangesHeader	ВЫЙТИ БЕЗ ИЗМЕНЕНИЙ?
$LegendaryPerkExitWithoutChangesOption	Выйти без изменений
$LegendaryPerkExitWithNoChangesTip	Заполните все ячейки, чтобы сохранить изменения
$LegendaryPerkLockedSlotTip	Чтобы открыть новую ячейку, требуется персонаж уровня {1}
$LegendaryPerkMaxSlotsUnlocked	Открыто максимальное количество ячеек
$LegendaryPerkNewSlotHeader	НОВАЯ ЯЧЕЙКА!
$LegendaryPerkNewSlotHeaderLocked	ЗАПЕРТО!
$LegendaryPerkOpenCardSelection	ВЫБРАТЬ СПОСОБНОСТЬ
$LegendaryPerkOpenDustbin	ИЗМЕНИТЬ КОРЗИНУ (КАРТ: {1})
$LegendaryPerkOpenSwapCard	УБРАТЬ
$LegendaryPerkOpenUpgradeCard	НОВЫЙ УРОВЕНЬ
$LegendaryPerkSelectCardSwapTip	Выберите карту для ячейки легендарной способности
$LegendaryPerkSelectNewTip	Выберите карту для пустой ячейки легендарной способности
$LegendaryPerkSlotCard	ВЫБРАТЬ
$LegendaryPerkUnequipCardModalHeader	УБРАТЬ?
$LegendaryPerkUnequipCardModalTooltip	Потратить монеты способностей ({1}), чтобы повысить уровень?
$LegendaryPerkUnequipErrorHeader	НЕ ХВАТАЕТ МОНЕТ СПОСОБНОСТЕЙ	
$LegendaryPerkUnequipErrorTooltip	Чтобы убрать эту карту, вам нужны монеты способностей: {1}.	
$LegendaryPerksOwned	СПОСОБНОСТИ
$LegendaryPerkUpgradeDuplicatesTip	(Часто повторяющиеся карты будут сожжены в первую очередь)
$LegendaryPerkViewCards	ПРОСМОТРЕТЬ ЛЕГЕНДАРНЫЕ КАРТЫ СПОСОБНОСТЕЙ
$Level	Ур.
$LEVEL	УРОВЕНЬ
$LEVEL#	УРОВЕНЬ {1}
$Level#	Уровень {1}
$Level #	Уровень #
$LEVEL UP	УРОВЕНЬ
$LEVELUP	УРОВЕНЬ
$LEVELBOOST_OVERRIDELOADOUTMESSAGE	Помимо повышения уровня до 50-го, этот предмет дает комплект карт способностей и снаряжение, соответствующее уровню. Его можно не использовать — в таком случае вы все равно получите соответствующие бонусы. При использовании комплекта уже имеющиеся у вас карты способностей и снаряжение НЕ пропадают.
$LEVELBOOST_OVERRIDE	Использовать комплект 50-го уровня (рекомендуется)
$LEVELBOOST_DONTOVERRIDE	НЕ использовать комплект 50-го уровня
$LIKE	ПОХВАЛИТЬ
$Lifetime	За все время
$Light Fade	Затемнение
$LightingQuality	Качество освещения
$LimitedTime	Срок ограничен!
$LIMITED_TIME	ВРЕМЯ ОГРАНИЧЕНО
$LIMITED_TIME_MODE	РЕЖИМ ОГРАНИЧЕННОГО ВРЕМЕНИ
$LimitedTimeOfferExpired	Срок действия предложения истек.
$LimitedTypeStorageOverrideName_Ammo	Коробка для боеприпасов
$LimitedTypeStorageOverrideName_Scrap	ЯЩИК ДЛЯ РАЗБОРКИ
$PlayerStorageContainerError_SystemDisabled	Перемещение контейнеров для хранения в настоящее время недоступно.
$LimitedTypeStorageError_ScrapDisabled	В настоящее время ящик для разборки недоступен.
$LimitedTypeStorageError_ScrapTransferFrom	У вас нет разрешения забирать предметы из ящика для разборки.
$LimitedTypeStorageError_ScrapTransferTo	Чтобы добавлять предметы в ящик для разборки, нужно быть участником Fallout 1st.
$LimitedTypeStorageError_AmmoDisabled   	В настоящее время коробка для боеприпасов недоступна.
$LimitedTypeStorageError_AmmoTransferFrom	У вас нет разрешения забирать предметы из коробки для боеприпасов.
$LimitedTypeStorageError_AmmoTransferTo	Чтобы добавлять предметы в коробку для боеприпасов, нужно быть участником Fallout 1st.
$LINK	СВЯЗАТЬ
$LINKED_ATHENAS	СВЯЗАННЫЕ МИРЫ
$List View	СПИСОК$
$LOAD	ЗАГРУЗИТЬ
$Load this game? All unsaved progress will be lost.	Загрузить эту игру? Все несохраненные данные будут потеряны.
$LOADING	ЗАГРУЗКА
$Loading	ЗАГРУЗКА
$Loaded_Into_Nuke_Zone	Вы появились в ядерной зоне. Хотите остаться в этом мире или найти другой?
$Loaded_Into_Nuke_Zone_Private	Вы появились в ядерной зоне.
$LoadoutChangeNotice	Набор карт способностей изменен
$Local Map	ЛОКАЛЬНАЯ КАРТА
$Location	Местонахождение
$LocationCleared	[ЗАЧИЩЕНО]
$Lock	Замок
$LOCK	Замок
$Lock_Skill_Level	НАВЫК ЗАМКА {1}
$LockedContainer	[ЗАПЕРТО]
$Lockpicks Left	Шпильки
$Log	Журнал
$LOG	СТАТИСТИКА
$Logging you in...	Вход в систему...
$Login failed.	Не удалось войти в учетную запись.
$Login_CreateNew	СОЗДАТЬ НОВУЮ УЧЕТНУЮ ЗАПИСЬ
$Login_SignInOrQuit	Сайту Bethesda.net не удалось проверить код игры, предоставленный программой запуска Bethesda.net. Пожалуйста, войдите в систему вручную или перезапустите Fallout 76.
$LoginError_AccountAlreadyLinked	76 — LINKFAIL — Этот адрес электронной почты уже есть в нашей системе. Зайдите на страницу http://beth.games/account и нажмите на кнопку "Помогите найти мою учетную запись". 
$LoginError_ActionNotAuthorized	 В данный момент эта учетная запись недоступна. Для получения дополнительной информации проверьте адрес электронной почты, указанный при регистрации этой учетной записи Bethesda.net, или обратитесь в службу поддержки.
$LoginError_AgeRestrict	Средства родительского контроля запрещают любую трансляцию.
$LoginError_BNET_BEAM_EMAIL_ADDRESS_ALREADY_TAKEN	Этот адрес электронной почты уже зарегистрирован. Пожалуйста, введите ваши имя пользователя и пароль. Если вы создали новую учетную запись с помощью этого адреса, проверьте письмо верификации.
$LoginError_BNET_BEAM_OBJECT_ALREADY_EXISTS_PSN	Ваша учетная запись Sony Entertainment Network не соответствует учетной записи Sony Entertainment Network, связанной с этим именем пользователя Bethesda.net.
$LoginError_BNET_BEAM_OBJECT_ALREADY_EXISTS_STEAM	Ваша учетная запись Steam не соответствует учетной записи Steam, связанной с этим именем пользователя Bethesda.net.
$LoginError_BNET_BEAM_OBJECT_ALREADY_EXISTS_XBL	Ваша учетная запись Xbox не соответствует учетной записи Xbox, связанной с этим именем пользователя Bethesda.net.
$LoginError_BNET_BEAM_OPERATIONAL_ERROR	Не удалось завершить операцию.
$LoginError_BNET_CANNOT_CONNECT	Не удалось подключиться к Bethesda.net.
$LoginError_BNET_CDP_AUTHENTICATION_FAILED	Не удалось войти в учетную запись Bethesda.net.
$LoginError_BNET_CLIENT_ERROR	Не удалось завершить операцию.
$LoginError_BNET_DNS_ERROR	Не удалось подключиться к Bethesda.net. (DNSError)
$LoginError_BNET_INTERNAL	Не удалось войти в учетную запись Bethesda.net.
$LoginError_BNET_INVALID_CREDENTIALS	Неправильное имя пользователя или пароль. Чтобы восстановить имя пользователя или сбросить пароль, перейдите по ссылке https://account.bethesda.net/ru/login
$LoginError_BNET_NOT_FOUND	Не удалось подключиться к Bethesda.net.
$LoginError_BNET_OUTSIDE_GRACE_PERIOD	Пожалуйста, завершите регистрацию на Bethesda.net и проверьте электронную почту.
$LoginError_BNET_PS4_HTTP_BEFORE_INIT	Не удалось завершить операцию.
$LoginError_BNET_SERVER_ERROR	Не удалось войти на сервер Bethesda.net.
$LoginError_BNET_TIMEOUT	Время ожидания подключения истекло.
$LoginError_BNET_UNACCEPTED_LEGAL_DOCUMENT	Лицензионное соглашение не было принято. Войдите на сайт Bethesda.net через браузер.
$LoginError_BNET_UNKNOWN_ERROR	Не удалось завершить операцию.
$LoginError_BNET_WINHTTP_INVALID_SERVER_RESPONSE	Не удалось подключиться к Bethesda.net.
$LoginError_BNET_XBOX_ONE_USER_ERROR	Не удалось подключиться к Bethesda.net.
$LoginError_BnetLoginError	При входе в учетную запись Bethesda.net произошла ошибка.
$LoginError_BnetNotReady	Не удалось выполнить запрос.
$LoginError_BnetServerError	Произошла неизвестная ошибка сервера. Повторите попытку позже.
$LoginError_Canceled	Запрос Bethesda.net отменен.
$LoginError_CommunicationError	Инженеры "Волт-Тек" трудятся не покладая рук, чтобы серверы вновь заработали! (CommunicationError)
$LoginError_ConfigFailedToDownload	Не удалось загрузить конфигурацию из хранилища игр.
$LoginError_ConfigFailedToParse	Не удалось проанализировать конфигурацию из хранилища игр.
$LoginError_CreateQuickAccountError	Не удалось войти в учетную запись Bethesda.net. Повторите попытку позже.
$LoginError_DRMStoreLicenseCheckRejected	Не удалось запустить Fallout 76.
$LoginError_EmailLookupError	Не удалось найти ваш адрес электронной почты.
$LoginError_EmailTaken	Этот адрес электронной почты уже связан с учетной записью Bethesda.net. Пожалуйста, введите имя пользователя и пароль для доступа к учетной записи.
$LoginError_FailedBackend	Инженеры "Волт-Тек" трудятся не покладая рук, чтобы серверы вновь заработали! (FailedBackend)
$LoginError_FailedLink	Не удалось привязать вашу учетную запись Bethesda.net. Повторите попытку позже.
$LoginError_FirstPartyTokenFail	Не удалось получить токен. Повторите попытку позже.
$LoginError_GameCodeFailure	Проблема с кодом активации игры. Повторите попытку позже. 
$LoginError_InvalidEmail	Адрес электронной почты недействителен. Введите действующий адрес.
$LoginError_InvalidLogin	Некорректное имя пользователя или пароль.
$LoginError_LinkQuickAccountError	Не удалось привязать вашу учетную запись Bethesda.net. Подтвердите вашу учетную запись Bethesda.net и попробуйте войти в нее.
$LoginError_LoginNeedLink	Не удалось выполнить связь с учетной записью. Повторите попытку позже.
$LoginError_LoginQueueCancelled	Запрос на вход в учетную запись отменен.
$LoginError_LoginQueueFailure	Инженеры "Волт-Тек" трудятся не покладая рук, чтобы серверы вновь заработали! (LoginQueue)
$LoginError_LoginQueueFreeAccessDenied	Бесплатное пробное событие завершено. Чтобы продолжить приключения в Аппалачии и сохранить свой прогресс, приобретите Fallout 76.
$LoginError_LoginQueueNotAuthorized	Не удалось войти. Запрещен доступ для учетной записи.
$LoginError_LoginQueueNotEntitled	Не удалось войти. Нет нужных разрешений для учетной записи.
$LoginError_MaintenanceMode	На серверах проводится техобслуживание.
$LoginError_MFARequired	На этой учетной записи включена многофакторная аутентификация. Пожалуйста, войдите в систему с помощью программы запуска Bethesda.net.
$LoginError_Needs1stPartyUpdate	Чтобы продолжить работу, требуется обновление.
$LoginError_NetworkCommunicationError	Ошибка сетевого соединения. Пожалуйста, повторите попытку позднее.
$LoginError_NoAccept	Для продолжения работы нужно принять условия лицензионного соглашения.
$LoginError_NoRegionPingFoundError	Инженеры "Волт-Тек" трудятся не покладая рук, чтобы серверы вновь заработали! (NoRegionPing)
$LoginError_NotCoppa	Вы можете играть в Fallout 76, только если вам уже исполнилось 13 лет.
$LoginError_NotSignedIn1stPartyDurango	Для продолжения работы нужно выполнить вход в учетную запись Xbox.
$LoginError_NotSignedIn1stPartyOrbis	Для продолжения работы нужно выполнить вход в учетную запись Sony Entertainment Network.
$LoginError_PS4AuthFailed	Ошибка аутентификации.
$LoginError_PsAgeRestricted	Из-за возрастных ограничений возможности “PlayStation Network” в этом приложении недоступны.
$LoginError_Timeout	Время ожидания подключения истекло. Пожалуйста, повторите попытку позже.
$LoginError_UnhandledNetworkCommunicationError	Неизвестная ошибка сетевого соединения. Пожалуйста, повторите попытку позже.
$LoginError_Unknown error	Не удалось войти в учетную запись.
$LoginError_UnknownError	Не удалось войти в учетную запись.
$LoginPage_Footer	В ходе игры по сети могут возникать изменения, влияющие на процесс
$LoginPage_Header	Выполните вход, чтобы привязать свою учетную запись и играть в Fallout 76
$LoginPage_Header_Pc	Выполните вход, чтобы играть в Fallout 76
$LoginPage_SignInLink	Вход...
$LoginQueueTier1	Время ожидания перед подключением к Fallout 76 увеличено.
$LoginQueueTier2	Из-за крайне высокой нагрузки время ожидания перед подключением к Fallout 76 может достигать часа.
$LoginQueueTier3	Достигнута пиковая нагрузка, поэтому Fallout 76 пока не принимает запросы на вход в учетную запись. Попробуйте войти позже.
$LOOK	КАМЕРА
$Look Sensitivity X	Чувствительность обзора по оси X
$Look Sensitivity Y	Чувствительность обзора по оси Y
$LootbagHeader	Выбрать тип используемого мешка с добычей.
$LootbagTypeNone	НЕТ
$LootbagTypeBoth	МЕШОК ДЛЯ ТРОФЕЕВ И МЕШОК СМЕРТИ
$LootbagTypeDrop	МЕШОК ДЛЯ ТРОФЕЕВ
$LootbagTypeDeath	МЕШОК СМЕРТИ
$LOST	Потеряно
$LOW	НИЗК.
$LUCK	УДАЧА
$LUCKY_DIE_RE_ROLL	ПРЕМИАЛЬНЫЙ ЗАМЕНИТЕЛЬ
$Main Menu	Главное меню
$MAIN MENU	Главное меню
$MainMenuAfkLogout	Осуществлен выход из игры, потому что пользователь слишком долго бездействовал.
$MainMenuBabylon	NUCLEAR WINTER
$MainMenuBabylonSquad	ОТРЯД NW
$MainMenuChallenges	ИСПЫТАНИЯ
$MainMenuChangeAppearance	ИЗМЕНИТЬ ВНЕШНОСТЬ
$MainMenuChangeAppearanceTooltip	Изменить внешность своего персонажа (первый этап)
$MainMenuCharacter	ПЕРСОНАЖ
$MainMenuCharacterTooltip	Просмотреть и выбрать текущего персонажа
$MainMenuCredits	АВТОРЫ
$MainMenuCreditsTooltip	Прочитать список авторов игры
$MainMenuCustomerSupport	СЛУЖБА ПОДДЕРЖКИ
$MainMenuCustomerSupportToolip	Отправить запрос в службу поддержки
$MainMenuEditAthenas	ИЗМЕНИТЬ МИРЫ
$MainMenuEditAthenasTooltip	Измените свои личные миры
$MainMenuHelp	ПОМОЩЬ
$MainMenuHelpTooltip	Изучить статьи о том, как играть
$MainMenuIISPrompt	Чтобы начать, нажмите любую кнопку
$MainMenuIISPrompt_PS4	Чтобы начать, нажмите любую кнопку
$MainMenuPhotoGallery	ФОТОГАЛЕРЕЯ
$MainMenuPhotoGalleryTooltip	Просмотреть сделанные фотографии
$MainMenuPhotoMode	ФОТОРЕЖИМ
$MainMenuPhotomodeTooltip	Сфотографируйте своего персонажа
$MainMenuPlay	ИГРАТЬ
$MainMenuPlayNormal	Приключение
$MainMenuPlayNormalTooltip	ОБЫЧНЫЙ ОТКРЫТЫЙ МИР
$MainMenuPlayNuclearWinter	Nuclear Winter (БЕТА)
$MainMenuPlayNuclearWinterTooltip	ВСЕ ПРОТИВ ВСЕХ
$MainMenuPlayPrivateNormal	Закрытый мир
$MainMenuPlayPrivateNormalTooltip	ЗАКРЫТЫЙ МИР ТОЛЬКО ДЛЯ 8 ДРУЗЕЙ
$MainMenuPlaySurvival	Выживание (БЕТА)
$MainMenuPlaySurvivalTooltip	СЛОЖНЕЕ ИСПЫТАНИЯ, МЕНЬШЕ ОГРАНИЧЕНИЙ
$MainMenuPlayTooltip	Свободное исследование мира
$MainMenuQuickPlay	БЫСТРАЯ ИГРА
$MainMenuQuickPlayTooltip	Переход к быстрому сеансу игры
$MainMenuQuit	ВЫЙТИ
$MainMenuQuitToDesktop	ВЫЙТИ НА РАБОЧИЙ СТОЛ
$MainMenuQuitToMenu	ВЫЙТИ В ГЛАВНОЕ МЕНЮ
$MainMenuQuitTooltip	Выйти из Fallout 76
$MainMenuResume	ПРОДОЛЖИТЬ
$MainMenuResumeTooltip	Вернуться в игру
$MainMenuSeason	СЕЗОНЫ
$MainMenuSettings	НАСТРОЙКИ
$MainMenuSettingsTooltip	Просмотреть и изменить настройки
$MainMenuSocial	ОБЩЕНИЕ
$MainMenuSocialTooltip	Просмотреть друзей и войти в их мир
$MainMenuStore	МАГАЗИН
$MainMenuStoreTooltip	Посетить магазин
$Make	Сделать:
$MAKE	Сделать:
$MakeOnlyThisActive	СДЕЛАТЬ АКТИВНЫМ ТОЛЬКО ЭТО
$MAKE PROFILE PHOTO	СДЕЛАТЬ ФОТО ПРОФИЛЯ
$MANAGE_LINKED_ATHENAS	УПРАВЛЕНИЕ СВЯЗАННЫМИ МИРАМИ
$MAP	КАРТА
$Map	КАРТА
$MapMenu_ChangeIconModal_Continue	ПРОДОЛЖИТЬ ИГРУ
$MapMenu_ChangeIconModal_Header	ИЗМЕНИТЬ ЗНАЧОК ИГРОКА?
$MapMenu_ChangeIconModal_VisitShop	ИЗМЕНИТЬ ЗНАЧОК ИГРОКА
$MapMenu_InviteSent	Приглашение в команду отправлено.
$MapMenu_VendorCampInfo_AmmoCount	Боеприпасы[{1}]
$MapMenu_VendorCampInfo_ApparelCount	Одежда[{1}]
$MapMenu_VendorCampInfo_ArmorCount	Броня[{1}]
$MapMenu_VendorCampInfo_OneStarArmorCount	Броня ¬[{1}]
$MapMenu_VendorCampInfo_TwoStarArmorCount	Броня ¬¬[{1}]
$MapMenu_VendorCampInfo_ThreeStarArmorCount	Броня ¬¬¬[{1}]
$MapMenu_VendorCampInfo_DrinkCount	Напиток[{1}]
$MapMenu_VendorCampInfo_ExplosiveCount	Взрывчатка[{1}]
$MapMenu_VendorCampInfo_FoodCount	Пища[{1}]
$MapMenu_VendorCampInfo_Header	ТОРГОВЕЦ:
$MapMenu_VendorCampInfo_JunkCount	Хлам[{1}]
$MapMenu_VendorCampInfo_MedsCount	Лекарства[{1}]
$MapMenu_VendorCampInfo_MiscCount	Разное[{1}]
$MapMenu_VendorCampInfo_ModsCount	Модификации[{1}]
$MapMenu_VendorCampInfo_PlanCount	Схема[{1}]
$MapMenu_VendorCampInfo_StimpakCount	Стимулятор[{1}]
$MapMenu_VendorCampInfo_WeaponCount	Оружие[{1}]
$MapMenu_VendorCampInfo_OneStarWeaponCount	Оружие ¬[{1}]
$MapMenu_VendorCampInfo_TwoStarWeaponCount	Оружие ¬¬[{1}]
$MapMenu_VendorCampInfo_ThreeStarWeaponCount	Оружие ¬¬¬[{1}]
$MapQuestFlyoutDescriptionHeader	ОПИСАНИЕ ЗАДАНИЯ
$MapQuestFlyoutJournalHeader	ДНЕВНИК
$MapQuestFlyoutObjectivesHeader	ЗАДАЧИ
$MapVoteEnded	Голосование завершено. Покиньте этот экран.
$Master	Общий
$MasterVolumeDesc	Регулирует громкость всех источников звука
$MATCH	МАТЧ
$MATCHCOMPLETE	МАТЧ ЗАВЕРШЕН
$MatchmakeErr_WorldTypeBanned	Личный мир сейчас под запретом.
$MatchmakeErr_WorldTypeDisabled	Режим игры пока отключен.
$MATCHRANK	РАЗМЕЩЕНИЕ МАТЧА
$MATCHSUMMARY	ПОДРОБНОСТИ МАТЧА
$Max	Макс.
$MAX	МАКС.
$MEDIUM	СРЕДН.
$Melee	Удар/Мощная атака/Граната
$MEMBERSONLY	ТОЛЬКО УЧАСТНИКИ
$MEMORY_GB	{1} ГБ
$MENU	МЕНЮ
$MessageFadeOption	Время исчезновения окна с сообщением
$MessageFadeOptionDesc	Время в секундах: 
$MessageFadeOptionAmount	Видимость окна с сообщением
$MessageFadeOptionAmountDesc	Прозрачность при затемнении:
$MinDiskSizeFailError	Для корректной работы игра требует не менее 1 ГБ свободного пространства на жестком диске.
$Mini_Season_Timer	Особое событие с {1} по {2}!
$Mini_Season_Time_Remaining	{1}: {2}
$Season_Timer	Сезон закончится {1}
$MinutesAbbrev	м
$Miscellaneous	Разное
$MISCELLANEOUS	РАЗНОЕ
$Mod_Details	ПОДРОБНОСТИ
$Mod_LibraryDelete	УДАЛИТЬ
$Mod_LibraryDisable	ДЕАКТИВИРОВАТЬ
$Mod_LibraryEnable	АКТИВИРОВАТЬ
$Mod_MyLibrary	ПОРЯДОК ЗАГРУЗКИ
$Mod_Reorder	ПОМЕНЯТЬ ПОРЯДОК
$Mod_Search	ПОИСК
$MOD_SLOTS	ЯЧЕЙКИ МОДИФИКАЦИЙ
$MODE	МОДИФИКАЦИЯ
$ModeSelectAdventureModeDetail	Обычный режим Fallout 76, ориентированный на совместную игру. Для тех, кто хочет исследовать и восстановить Аппалачию. Вмешательство враждебных игроков ограничено.
$ModeSelectHeaderAdventure	ПРИКЛЮЧЕНИЕ
$ModeSelectHeaderNuclearWinter	NUCLEAR WINTER
$ModeSelectHeaderPrivate	ЗАКРЫТЫЙ МИР
$ModeSelectHeaderSurvival	ВЫЖИВАНИЕ
$ModeSelectNuclearWinterModeDetail	В постапокалиптических развалинах Аппалачии начинается битва, где каждый сам за себя. Вы оказались в центре жестокой радиоактивной бури. Хватит ли вам сил, чтобы стать новым Смотрителем Убежища 51?
$ModeSelectNuclearWinterModeDetailLine1	У вас только одна жизнь, последняя уцелевшая команда выигрывает матч.
$ModeSelectNuclearWinterModeDetailLine2	Зарабатывайте опыт Смотрителя и получайте новые ранги Смотрителя, чтобы открывать материалы.
$ModeSelectNuclearWinterModeDetailLine3	Получите доступ в новые комнаты Убежища 51 и узнайте трагическую историю его первых обитателей.
$ModeSelectNuclearWinterModeDetailLine4	Открывайте способности и используйте их в новой системе карт, разработанной специально для дополнения Nuclear Winter.
$ModeSelectNuclearWinterModeDetailLine5	Сражайтесь в команде с 3 другими игроками! Используйте функцию "Собрать команду", чтобы найти себе товарищей автоматически!
$ModeSelectNuclearWinterModeTitle	ОСОБЕННОСТИ РЕЖИМА ИГРЫ
$ModeSelectPrivateDetail	Исследуйте Аппалачию в одиночку или с друзьями 
$ModeSelectPrivateDetailLine1	Можно присоединиться, пока вы являетесь участником Fallout 1st
$ModeSelectPrivateDetailLine2	Друзья владельца закрытого мира могут присоединиться к нему через социальное меню, если не включен параметр "Только команда"
$ModeSelectPrivateDetailLine3	Если в мире нет участников Fallout 1st, оставшиеся игроки через некоторое время будут отключены
$ModeSelectPrivateTitle	ОСОБЕННОСТИ ЗАКРЫТОГО МИРА
$ModeSelectSurvivalModeDetail	Для тех, кто хочет испытать себя. Меньше ограничений, выше опасность, больше награда.
$ModeSelectSurvivalModeDetailLine1	Других игроков можно атаковать без ограничений
$ModeSelectSurvivalModeDetailLine2	После смерти и быстрого перемещения вы можете возродиться на железнодорожных станциях, в дружественных C.A.M.P. или в Убежище 76
$ModeSelectSurvivalModeDetailLine3	Сумма крышек за убийство игрока удвоена
$ModeSelectSurvivalModeDetailLine4	После смерти игрока можно забрать не только его хлам, но и кое-какие препараты
$ModeSelectSurvivalModeDetailLine5	На карте отображаются только игроки в розыске.
$ModeSelectSurvivalModeDetailLine6	Весь получаемый опыт увеличивается на 20%
$ModeSelectSurvivalModeTitle	ДЕЙСТВУЮЩИЕ ПРАВИЛА
$MODIFY	МОДИФ.
$MODIFY_REPAIR	МОДИФИЦИРОВАТЬ ИЛИ ПОЧИНИТЬ
$ModMenuNoToolsToMod	У вас нет инструментов, пригодных для модификации.
$MODS	МОДИФИКАЦИИ
$Mod	Модификация
$Monitor	Монитор
$MORE INFO	БОЛЬШЕ ИНФОРМАЦИИ
$More...	Еще...
$MORE_OPTIONS	БОЛЬШЕ НАСТРОЕК
$MOST WANTED	В РОЗЫСКЕ
$MostFavorited	Больше всего раз добавлено в "Избранное"
$MostPopularAllTime	Самые популярные — за все время
$MostPopularThisWeek	Самые популярные — на этой неделе
$MostWantedObjective	Останьтесь в живых, пока не пройдет срок награды за вас!
$MOSTWANTEDQUEST	В РОЗЫСКЕ
$MOTD_HEADER	НОВОСТИ FALLOUT 76 
$Mouse Move	Движение с помощью мыши
$MOUSELOOK	ОБЗОР МЫШЬЮ
$MOVE	ДВИГАТЬ
$MOVETAG	ПЕРЕМЕСТИТЬ МЕТКУ
$Move	ДВИГАТЬ
$MOVEFROMSTASH	ПЕРЕНЕСТИ ИЗ ЯЩИКА
$MoveMarker	Передвинуть метку
$MoveMarkerQuestion	Передвинуть или удалить метку?
$MURDERED	УБИТ
$MURDEREDBONUS	Отомстите!
$MURDEREDBY	УБИТ ИГРОКОМ:
$MURDERER	УБИЙЦА
$MUSCULAR	Мускулы
$Music	Музыка
$MusicDesc	Настройка громкости музыки
$MutatedReward	Набор «Мутация»
$Mutators	Гены-мутаторы
$MUTE	БЕЗ ЗВУКА
$MY BLUEPRINTS	МОИ ЧЕРТЕЖИ
$My Creations	Мои творения
$My Favorites	Избранное
$My Library	Моя библиотека
$My Perks	СПОСОБНОСТИ
$MYACTIVEOFFERS	МОИ АКТИВНЫЕ ПРЕДЛОЖЕНИЯ
$MYINVENTORY	МОИ ПРЕДМЕТЫ
$MYSTATS	МОЯ СТАТИСТИКА
$NAME YOUR CHARACTER	ДАЙТЕ ИМЯ СВОЕМУ ПЕРСОНАЖУ
$Name:	Имя:
$NAMEBLUEPRINT	НАЗВАНИЕ ЧЕРТЕЖА
$NameBlueprint_InvalidName	Это некорректное имя, введите другое.
$NAMECOMPANION	ИМЯ СПУТНИКА
$NAMEPET	ИМЯ ПИТОМЦА
$NameDoesNotMatch	Имя не совпадает с именем персонажа.
$NAMEITEM	НАЗВАТЬ ПРЕДМЕТ
$NAME_PREFIX	ПРЕФИКС
$NAME_SUFFIX	СУФФИКС
$NavigateObjectives	ПРОКРУТКА СПИСКА
$NEARBYCORPSES	БЛИЖАЙШИЕ ТЕЛА
$Need Updates	Доступны обновления
$NEEDATOMS	НУЖНЫ АТОМЫ
$NEEDATOMSBODY	Чтобы купить этот предмет, вам нужно больше атомов. Хотите купить их сейчас?
$NEEDS FOUNDATION	--НУЖЕН ФУНДАМЕНТ--
$New	Новый
$NEW	Новый
$New Game Difficulty	Сложность новой игры
$New Perks	ВСЕ СПОСОБН.
$New Rank	Новый ур.
$NewCampAddedNotification	ДОБАВЛЕНА ВОЗМОЖНОСТЬ ПЕРЕМЕЩЕНИЯ C.A.M.P.!
$NewMiscAvailable	Доступно новое мелкое задание
$NEWQUESTAVAILABLE	ДОСТУПНО НОВОЕ ЗАДАНИЕ
$NEWS	НОВОСТИ
$NewsOptInMessage	Заведите полноценную учетную запись Bethesda.net, чтобы получать эксклюзивные новости и предложения!
$NEW_ATHENA	НОВЫЙ МИР
$NEW_ATHENA_NAME	НОВОЕ НАЗВАНИЕ МИРА
$NEW_CUSTOM_ATHENA	НОВЫЙ ЛИЧНЫЙ МИР
$NEXT	СЛЕД
$NEXTEXPEDITION	СЛЕД. ЭКСПЕДИЦИЯ
$NEXT PERK	СЛЕД. УРОВЕНЬ
$NEXTPREV	СЛЕД./ПРЕД.
$No	Нет
$NO	НЕТ
$NO_ACTIVE_ATHENA	НЕТ АКТИВНОГО МИРА
$No content found.	Контент не найден.
$No damage reduction	Нет уменьшения урона
$No_Entry	Нет данных
$NO_ITEMS	НЕТ ПРЕДМЕТОВ
